Search,Search Length,Average Time
IDS,2,0.006842127
IDS,3,0.050186963
IDS,4,0.112920547
IDS,5,0.326493979
IDS,6,1.145358009

BFS,2,0.008936124
BFS,3,0.050336041
BFS,4,0.108073039
BFS,5,0.310146976
BFS,6,1.087120781

IDS,0,0.007580037
IDS,1,0.047125282
IDS,2,0.105694504
IDS,3,0.296538653
IDS,4,1.041073656

IDS,0,0.008996725
IDS,1,0.056779933
IDS,2,0.128501449
IDS,3,0.381770258
IDS,4,1.379760795

IDS,0,0.005784531
IDS,1,0.049189138
IDS,2,0.119751582
IDS,3,0.374595695
IDS,4,1.365076733

RBFS,2,0.26604413
RBFS,3,1.961133523

RBFS,2,0.158880353
RBFS,2,0.158120122

SearchA, Search B, Intermediaries, Average Time

